date (mm-dd-yy),0me,participant_id,owner_id,trial_number,location,choice_1,choice_2,choice_3,choice_4,choices_required,notes,weighted_accuracy_score
11-25-23,Lilly,BDL119,OWN007,1,3,4,3,0,0,2,old warm-up used,0.5
11-25-23,Lilly,BDL119,OWN007,2,1,2,1,0,0,2,old warm-up used,0.5
11-25-23,Lilly,BDL119,OWN007,3,2,2,0,0,0,1,old warm-up used,1
11-25-23,Lilly,BDL119,OWN007,4,4,3,2,1,4,4,old warm-up used,0.25
11-25-23,Lilly,BDL119,OWN007,5,1,4,3,2,1,4,old warm-up used,0.25
11-25-23,Lilly,BDL119,OWN007,6,3,3,0,0,0,1,old warm-up used,1
11-25-23,Lilly,BDL119,OWN007,7,4,3,2,4,0,3,old warm-up used,0.3333333333
11-25-23,Lilly,BDL119,OWN007,8,4,3,4,0,0,2,old warm-up used,0.5
11-25-23,Lilly,BDL119,OWN007,9,2,4,3,2,0,3,old warm-up used,0.3333333333
11-25-23,Lilly,BDL119,OWN007,10,1,3,2,1,0,3,old warm-up used,0.3333333333
11-25-23,Lilly,BDL119,OWN007,11,3,3,0,0,0,1,old warm-up used,1
11-25-23,Lilly,BDL119,OWN007,12,2,2,0,0,0,1,old warm-up used,1
12-03-23,Goose,BDL004,OWN008,1,2,2,0,0,0,1,,1
12-03-23,Goose,BDL004,OWN008,2,3,3,0,0,0,1,,1
12-03-23,Goose,BDL004,OWN008,3,1,1,0,0,0,1,,1
12-03-23,Goose,BDL004,OWN008,4,2,3,2,0,0,2,,0.5
12-03-23,Goose,BDL004,OWN008,5,4,3,4,0,0,2,,0.5
12-03-23,Goose,BDL004,OWN008,6,3,3,0,0,0,1,,1
12-03-23,Goose,BDL004,OWN008,7,1,2,1,0,0,2,,0.5
12-03-23,Goose,BDL004,OWN008,8,4,3,4,0,0,2,,0.5
12-03-23,Goose,BDL004,OWN008,9,2,1,2,0,0,2,,0.5
12-03-23,Goose,BDL004,OWN008,10,4,4,0,0,0,1,,1
12-03-23,Goose,BDL004,OWN008,11,1,2,3,4,1,4,,0.25
12-03-23,Goose,BDL004,OWN008,12,3,3,0,0,0,1,,1
12-07-23,Kiko,BDL024,OWN009,1,4,3,4,0,0,2,,0.5
12-07-23,Kiko,BDL024,OWN009,2,1,2,1,0,0,2,,0.5
12-07-23,Kiko,BDL024,OWN009,3,2,3,2,0,0,2,,0.5
12-07-23,Kiko,BDL024,OWN009,4,3,3,0,0,0,1,,1
12-07-23,Kiko,BDL024,OWN009,5,1,1,0,0,0,1,,1
12-07-23,Kiko,BDL024,OWN009,6,2,2,0,0,0,1,,1
12-07-23,Kiko,BDL024,OWN009,7,4,3,4,0,0,2,,0.5
12-07-23,Kiko,BDL024,OWN009,8,3,3,0,0,0,1,,1
12-07-23,Kiko,BDL024,OWN009,9,4,3,4,0,0,2,,0.5
12-07-23,Kiko,BDL024,OWN009,10,1,2,1,0,0,2,,0.5
12-07-23,Kiko,BDL024,OWN009,11,3,3,0,0,0,1,,1
12-07-23,Kiko,BDL024,OWN009,12,2,3,2,0,0,2,,0.5
12-08-23,Milo,BDL195,OWN010,1,4,1,2,3,4,4,,0.25
12-08-23,Milo,BDL195,OWN010,2,1,2,3,4,1,4,,0.25
12-08-23,Milo,BDL195,OWN010,3,3,2,3,0,0,2,,0.5
12-08-23,Milo,BDL195,OWN010,4,1,1,0,0,0,1,,1
12-08-23,Milo,BDL195,OWN010,5,2,1,2,0,0,2,,0.5
12-08-23,Milo,BDL195,OWN010,6,4,3,4,0,0,2,,0.5
12-08-23,Milo,BDL195,OWN010,7,3,1,2,3,0,3,,0.3333333333
12-08-23,Milo,BDL195,OWN010,8,2,2,0,0,0,1,,1
12-08-23,Milo,BDL195,OWN010,9,3,2,1,3,0,3,,0.3333333333
12-08-23,Milo,BDL195,OWN010,10,4,1,2,3,4,4,,0.25
12-08-23,Milo,BDL195,OWN010,11,2,1,2,0,0,2,,0.5
12-08-23,Milo,BDL195,OWN010,12,1,1,0,0,0,1,,1
12-12-23,Star,BDL049,OWN011,1,1,2,1,0,0,2,,0.5
12-12-23,Star,BDL049,OWN011,2,4,2,1,3,4,4,,0.25
12-12-23,Star,BDL049,OWN011,3,1,2,1,0,0,2,,0.5
12-12-23,Star,BDL049,OWN011,4,3,2,3,0,0,2,,0.5
12-12-23,Star,BDL049,OWN011,5,2,2,0,0,0,1,,1
12-12-23,Star,BDL049,OWN011,6,4,3,4,0,0,2,,0.5
12-12-23,Star,BDL049,OWN011,7,2,3,2,0,0,2,,0.5
12-12-23,Star,BDL049,OWN011,8,3,3,0,0,0,1,,1
12-12-23,Star,BDL049,OWN011,9,1,2,1,0,0,2,,0.5
12-12-23,Star,BDL049,OWN011,10,2,2,0,0,0,1,,1
12-12-23,Star,BDL049,OWN011,11,4,4,0,0,0,1,,1
12-12-23,Star,BDL049,OWN011,12,3,3,0,0,0,1,,1
,,,,,,,,,,,,0.6486111111